debate,form,year,month,day,description,wordn,notes,pagenum,election,type
1988PLosAngelesCA,6,1988,10,13,Presidential Debate in Los Angeles,3,,october-13-1988-debate-transcript,1988,P
1988PWinston-SalemNC,6,1988,9,25,"Presidential Debate in Winston - Salem, North Carolina",3,,september-25-1988-debate-transcript,1988,P
1988VOmahaNE,6,1988,10,5,"Vice Presidential Debate in Omaha, Nebraska",3,,october-5-1988-debate-transcripts,1988,V
1984PKansasCityMO,6,1984,10,21,"Presidential Debate in Kansas City, MO",3,,october-21-1984-debate-transcript,1984,P
1984PLouisvilleKY,6,1984,10,7,"Presidential Debate in Louisville, KY",3,,october-7-1984-debate-transcript,1984,P
1984VPhiladelphiaPN,6,1984,10,11,Vice Presidential Debate in Philadelphia,3,,october-11-1984-debate-transcript,1984,V
1980PClevelandOH,6,1980,10,28,Presidential Debate in Cleveland,3,,october-28-1980-debate-transcript,1980,P
1980PBaltimoreMD,6,1980,9,21,Presidential Debate in Baltimore (Reagan - Anderson),3,,september-21-1980-debate-transcript,1980,P
1976PWilliamsburgVA,6,1976,10,22,"Presidential Campaign Debate in Williamsburg, Virginia",3,,october-22-1976-debate-transcript,1976,P
1976PSanFranciscoCA,6,1976,10,6,Presidential Campaign Debate in San Francisco,3,,october-6-1976-debate-transcript,1976,P
1976PPhiladelphiaPN,6,1976,9,23,Presidential Campaign Debate in Philadelphia,3,,september-23-1976-debate-transcript,1976,P
1976VHoustonTX,4,1976,10,15,Vice Presidential Debate in Houston,3,not in CPD,62249,1976,V
1960PNewYorkNY,6,1960,10,21,Presidential Debate in New York,3,,october-21-1960-debate-transcript,1960,P
1960PNewYorkandLosAngeles,6,1960,10,13,Presidential Debate Broadcast from New York and Los Angeles,3,,october-13-1960-debate-transcript,1960,P
1960PWashingtonDC,6,1960,10,7,"Presidential Debate in Washington, DC",3,,october-7-1960-debate-transcript,1960,P
1960PChicagoIL,6,1960,9,26,Presidential Debate in Chicago,3,,september-26-1960-debate-transcript,1960,P
