person,long,name,candidate,party
ADMIRAL STOCKDALE,James Stockdale,STOCKDALE,1,I
AUDIENCE MEMBER,,AUDIENCEMEMBER,0,
AUDIENCE QUESTION,,AUDIENCEMEMBER,0,
BRUNO,,BRUNO,0,
BUSH,George H. W. Bush,BUSH,1,R
CAROLE SIMPSON,,SIMPSON,0,
CLINTON,Bill Clinton,CLINTON,1,D
COMPTON,,COMPTON,0,
GENE GIBBONS (Reuters),,GIBBONS,0,
GIBBONS,,GIBBONS,0,
GORE,Al Gore,GORE,1,D
GOVERNOR CLINTON,Bill Clinton,CLINTON,1,D
GOVERNOR CLINTON (continuing),Bill Clinton,CLINTON,1,D
HAL BRUNO,,BRUNO,0,
HELEN THOMAS (upi),,THOMAS,0,
JIM LEHRER,,LEHRER,0,
LEHRER,,LEHRER,0,
MASHEK,,MASHEK,0,
PEROT,Ross Perot,PEROT,1,I
PRESIDENT BUSH,George H. W. Bush,BUSH,1,R
PRESIDENT GEORGE BUSH,George H. W. Bush,BUSH,1,R
QUAYLE,Dan Quayle,QUAYLE,1,R
ROOK,,ROOK,0,
ROSS PEROT,Ross Perot,PEROT,1,I
SANDER VANOCUR,,VANOCUR,0,
SENATOR GORE,Al Gore,GORE,1,D
SIMPSON,,SIMPSON,0,
SIMPSON (continuing),,SIMPSON,0,
STOCKDALE,James Stockdale,STOCKDALE,1,I
SUSAN ROOK (CNN),,ROOK,0,
THOMAS,,THOMAS,0,
VANOCUR,,VANOCUR,0,
VICE PRESIDENT QUAYLE,Dan Quayle,QUAYLE,1,R
