person,long,name,candidate,party
ANDERSON,John Anderson,ANDERSON,1,I
BARBARA WALTERS,,WALTERS,0,
CAROL LOOMIS,,LOOMIS,0,
CHARLES CORDDRY,,CORDDRY,0,
CORDDRY,,CORDDRY,0,
GOLDEN,,GOLDEN,0,
GOV. RONALD REAGAN,Ronald Reagan,REAGAN,1,R
GREENBERG,,GREENBERG,0,
"GREENBERG, SYNDICATED COLUMNIST",,GREENBERG,0,
HARRY ELLIS,,ELLIS,0,
JANE BRYANT,,BRYANT,0,
LEE MAY,,MAY,0,
LOOMIS,,LOOMIS,0,
MARVIN STONE,,STONE,0,
MAY,,MAY,0,
MOYERS,,MOYERS,0,
MR. CARTER,Jimmy Carter,CARTER,1,D
MR. ELLIS,,ELLIS,0,
MR. HILLIARD,,HILLIARD,0,
MR. REAGAN,Ronald Reagan,REAGAN,1,R
MR. SMITH,,SMITH,0,
"MR. SMITH, ABC NEWS",,SMITH,0,
MR. STONE,,STONE,0,
MS. WALTERS,,WALTERS,0,
QUINN,,QUINN,0,
REAGAN,Ronald Reagan,REAGAN,1,R
REP. JOHN B. ANDERSON,John Anderson,ANDERSON,1,I
RUTH HINERFELD,,HINERFELD,0,
"WILLIAM HILLIARD, PORTLAND OREGONIAN",,HILLIARD,0,
