person,long,name,candidate,party
AUDIENCE MEMBER,,AUDIENCEMEMBER,0,
BOYD,,BOYD,0,
BUSH,George H. W. Bush,BUSH,1,R
DOROTHY S. RIDINGS,,RIDINGS,0,
FERRARO,Geraldine Ferraro,FERRARO,1,D
MASHEK,,MASHEK,0,
MR. BARNES,,BARNES,0,
MR. KALB,,KALB,0,
MR. KONDRACKE,,KONDRACKE,0,
MR. MONDALE,Walter Mondale,MONDALE,1,D
MR. NEWMAN,,NEWMAN,0,
MR. WIEGHART,,NEWMAN,0,
MS. GEYER,,WIEGHART,0,
MS. RIDINGS,,GEYER,0,
MS. SAWYER,,RIDINGS,0,
MS. WALTERS,,SAWYER,0,
QUARLES,,WALTERS,0,
THE PRESIDENT,Ronald Reagan,REAGAN,1,R
VANOCUR,,VANOCUR,0,
WHITE,,WHITE,0,
