person,long,name,candidate,party
"<span class=""displaytext"">HOGE",James Hoge,HOGE,0,
DOLE,Bob Dole,DOLE,1,R
"EDWIN NEWMAN, MODERATOR",Edwin Newman,NEWMAN,0,
Hal Bruno,Hal Bruno,BRUNO,0,
HOGE,James Hoge,HOGE,0,
Marilyn Berger,Marilyn Berger,BERGER,0,
MONDALE,Walter Mondale,MONDALE,1,D
MR. CARTER,Jimmy Carter,CARTER,1,D
MR. FORD,Gerald R. Ford,FORD,1,R
MR. FRANKEL,Max Frankel,FRANKEL,0,
MR. GANNON,James Gannon,GANNON,0,
MR. KRAFT,Joseph Kraft,KRAFT,0,
MR. MAYNARD,Robert Maynard,MAYNARD,0,
MR. NELSON,Jack Nelson,NELSON,0,
MR. NEWMAN,Edwin Newman,NEWMAN,0,
MR. REYNOLDS,Frank Reynolds,REYNOLDS,0,
MR. TREWHITT,Henry L. Trewhitt,TREWHITT,0,
MR. VALERIANI,Richard Valeriani,VALERIANI,0,
MR.FORD,Gerald R. Ford,FORD,1,R
MS. DREW,Elizabeth Drew,DREW,0,
MS. FREDERIC,Pauline Frederick,FREDERICK,0,
MS. FREDERICK,Pauline Frederick,FREDERICK,0,
MS. WALTERS,Barbara Walters,WALTERS,0,
Walter Mears,Walter Mears,MEARS,0,
