person,long,name,candidate,party
John King,,KING,0,
JOHN ROGERS,,ROGERS,0,
JOHNS,,JOHNS,0,
Joseph,,JOSEPH,0,
Journey,,JOURNEY,0,
JUDY BAGLEY,,BAGLEY,0,
KARL ROVE,,ROVE,0,
Kerr,,KERR,0,
KEYES,Alan Keyes,KEYES,1,R
KHALIL KHAN,,KHAN,0,
KING,,KING,0,
Kucinich,Dennis Kucinich,KUCINICH,1,D
KUCINICH,Dennis Kucinich,KUCINICH,1,D
LASHANNON SPENCER,,SPENCER,0,
LeeAnn Anderson,,ANDERSON,0,
LEHRER,,LEHRER,0,
Leroy Brooks,,BROOKS,0,
MALVEAUX,,MALVEAUX,0,
MANDY GARBER,,GARBER,0,
MARK RISS,,RISS,0,
Mark Strauss,,STRAUSS,0,
MATTHEW MASUR,,MASUR,0,
MAYOR GIULIANI,Rudy Giuliani,GIULIANI,1,R
McCain,John McCain,MCCAIN,1,R
MCCAIN,John McCain,MCCAIN,1,R
MCMANUS,,MCMANUS,0,
Michael Weitz,,Weitz,0,
Moderator,,MODERATOR,0,
MODERATOR,,MODERATOR,0,
Moderators,,MODERATORS,0,
MODERATORS,,MODERATORS,0,
MORALES,,MORALES,0,
MR EDWARDS,John Edwards,EDWARDS,1,D
MR GRAVEL,Mike Gravel,GRAVEL,1,D
MR. BLITZER,,BLITZER,0,
MR. CAMANN,,CAMANN,0,
MR. CAMERON,,CAMERON,0,
MR. COOPER,,COOPER,0,
MR. DODD,Christopher Dodd,DODD,1,D
MR. EDWARDS,John Edwards,EDWARDS,1,D
MR. FAHEY,, FAHEY,0,
MR. GIBSON,,GIBSON,0,
MR. GILMORE,Jim Gilmore,GILMORE,1,R
MR. GIULIANI,Rudy Giuliani,GIULIANI,1,R
MR. GOLER,,GOLER,0,
MR. GRAVEL,Mike Gravel,GRAVEL,1,D
MR. HALL,,HALL,0,
MR. HARWOOD,,HARWOOD,0,
MR. HARWOOD/HUCKABEE,,UNKOWN,0,
MR. HUCKABEE,Mike Huckabee,HUCKABEE,1,R
MR. HUME,,HUME,0,
MR. KARL,,KARL,0,
MR. KING,,KING,0,
MR. MASUR,,MASUR,0,
MR. MATTHEWS,,MATTHEWS,0,
MR. MULASANO,,MULSANO,0,
MR. NAVARRETTE,,NAVARRETTE,0,
MR. OLBERMANN,,OLBERMANN,0,
MR. RAMOS,,RAMOS,0,
MR. ROBERTS,,ROBERTS,0,
MR. ROMNEY,Mitt Romney,ROMNEY,1,R
MR. RUSSERT,,RUSSERT,0,
MR. SEALANDER,,SEALANDER,0,
MR. SEIB,,SEIB,0,
MR. SMILEY,,SMILEY,0,
MR. SPRADLING,,SPALDING,0,
MR. SUAREZ,,SUAREZ,0,
MR. TASH,,TASH,0,
MR. THOMPSON,Tommy Thompson,THOMPSON,1,R
MR. VANDEHEI,,VANDEHEI,0,
MR. VAUGHN,,VAUGHN,0,
MR. WALLACE,,WALLACE,0,
MR. WICKHAM,,WICKHAM,0,
MR. WILLIAMS,,WILLIAMS,0,
MS. BAGLEY,,BAGLEY,0,
MS. BARTIROMO,,BARTIROMO,0,
MS. BROWN,,BROWN,0,
MS. GARGASZ,,GARGASZ,0,
MS. KIERNAN,,KIERNAN,0,
MS. KILMINSTER,,KILMINSTER,0,
MS. MALVEAUX,,MALVEAUX,0,
MS. MARTIN,,MARTIN,0,
MS. MERRILL,,MERRILL,0,
MS. ROWELS,,ROWELS,0,
MS. SCOTT,,SCOTT,0,
MS. SPENCER,,SPENCER,0,
MS. STARK,,STARK,0,
MS. TUCKER,,TUCKER,0,
MS. VAUGHN,,VAUGHN,0,
NARRATOR,,NARRATOR,0,
Obama,Barack Obama,OBAMA,1,D
OBAMA,Barack Obama,OBAMA,1,D
OTHERS,,OTHERS,0,
Paul,Ron Paul,PAUL,1,R
PAUL,Ron Paul,PAUL,1,R
Paul (?),,UNKOWN,0,
PAULIE KERN,,KERN,0,
Q,,QUESTIONER,0,
QUESTION,,QUESTIONER,0,
Questioner,,QUESTIONER,0,
RAY SUAREZ,,SUAREZ,0,
REP KUCINICH,Dennis Kucinich,KUCINICH,1,D
REP. HUNTER,Duncan Hunter,HUNTER,1,R
REP. KUCINICH,Dennis Kucinich,KUCINICH,1,D
REP. PAUL,Ron Paul,PAUL,1,R
REP. TANCREDO,Tom Tancredo,TANCREDO,1,R
Representative Duncan Hunter (R-Calif.),Duncan Hunter,HUNTER,1,R
Representative Ron Paul (R-Texas),Ron Paul,PAUL,1,R
Representative Tom Tancredo (R-Col.),Tom Tancredo,TANCREDO,1,R
REVEREND,Reggie Longcrier,QUESTIONER,0,
Richardson,Bill Richardson,RICHARDSON,1,D
RICHARDSON,Bill Richardson,RICHARDSON,1,D
Romney,Mitt Romney,ROMNEY,1,R
ROMNEY,Mitt Romney,ROMNEY,1,R
Ronald Lanham,,Lanham,0,
RUSSERT,,RUSSERT,0,
Sam Garcia,,GARCIA,0,
SCHIEFFER,,SCHIEFFER,0,
Schmoopsy,,SCHMOOPSY,0,
SEN CLINTON,Hillary Clinton,CLINTON,1,D
SEN DODD,Christopher Dodd,DODD,1,D
SEN OBAMA,Barack Obama,OBAMA,1,D
SEN THOMPSON,Tommy Thompson,THOMPSON,1,R
SEN. BIDEN,Joe Biden,BIDEN,1,D
SEN. BROWNBACK,Sam Brownback,BROWNBACK,1,R
SEN. CLINTON,Hillary Clinton,CLINTON,1,D
SEN. DODD,Christopher Dodd,DODD,1,D
SEN. EDWARDS,John Edwards,EDWARDS,1,D
SEN. MCCAIN,John McCain,MCCAIN,1,R
SEN. OBAMA,Barack Obama,OBAMA,1,D
SENATOR CLINTON,Hillary Clinton,CLINTON,1,D
Senator John McCain (R-Ariz.),John McCain,MCCAIN,1,R
SENATOR OBAMA,Barack Obama,OBAMA,1,D
Senator Sam Brownback (R-Kan.),Sam Brownback,BROWNBACK,1,R
SEVERAL CANDIDATES,,SEVERALCANDIDATES,0,
Sparky,,SPARKY,0,
Stanton,,STANTON,0,
STEPHANOPOULOS,,STEPHANOPOULOS,0,
Steve Nielson,,NIELSON,0,
Tancredo,Tom Tancredo,TANCREDO,1,R
TANCREDO,Tom Tancredo,TANCREDO,1,R
Tancredo (?),,UNKOWN,0,
Ted Faturos,,FATUROS,0,
Thompson,Tommy Thompson,THOMPSON,1,R
THOMPSON,Tommy Thompson,THOMPSON,1,R
Tyler Overman,,OVERMAN,0,
VandeHei,,VANDEHEI,0,
VANDEHEI,,VANDEHEI,0,
WALLACE,,WALLACE,0,
WASHBURN,,WASHBURN,0,
Weitz,,WEITZ,0,
Williams,,WILLIAMS,0,
WILLIAMS,,WILLIAMS,0,
WOLF BLITZER,,BLITZER,0,
Yasmin,,YASMIN,0,
YEPSEN,,YEPSEN,0,
YouTube question,,QUESTIONER,0,
IFILL,Gwen Ifill,IFILL,0,
[*] BROKAW,Tom Brokaw,BROKAW,0,
BLITZER (?),,UNKOWN,0,
(UNKNOWN),,UNKOWN,0,
PALIN,Sarah Palin,PALIN,1,R
SENATOR JOHN MCCAIN (RZ),John McCain,MCCAIN,1,R
SENATOR JOHN MCCAIN (R-AZ),John McCain,MCCAIN,1,R
