person,long,name,candidate,party
(Unknown),,UNKOWN,0,
(UNKNOWN).,,UNKOWN,0,
[*] LEHRER,,LEHRER,0,
[*] SCHIEFFER,,SCHIEFFER,0,
Adam Florzak,,FLORZAK,0,
ALLISON KING,,KING,0,
AMB. KEYES,Alan Keyes,KEYES,1,R
Anderson Cooper,,COOPER,0,
Andrew Fink,,FINK,0,
Andrew Jones,,JONES,0,
Announcer,,ANNOUNCER,0,
ANNOUNCER,,ANNOUNCER,0,
Ashley,,ASHLEY,0,
Audience,,AUDIENCE,0,
AUDIENCE,,AUDIENCE,0,
AUDIENCE MEMBER,,AUDIENCEMEMBER,0,
AUDIENCE MEMBERS,,AUDIENCEMEMBERS,0,
Biden,Joe Biden,BIDEN,1,D
BIDEN,Joe Biden,BIDEN,1,D
BLITZER,,BLITZER,0,
Borger,,BORGER,0,
BRIAN SEALANDER,,SEALANDER,0,
BROKAW,,BROKAW,0,
Brownback,Sam Brownback,BROWNBACK,1,R
BROWNBACK,Sam Brownback,BROWNBACK,1,R
Brownback (?),,UNKOWN,0,
Buzz Brockway,,BROCKWAY,0,
CAMERON,,CAMERON,0,
Campbell,,CAMPBELL,0,
CAROLYN GARGASZ,,GARGASZ,0,
CATHERINE JACKSON,,JACKSON,0,
Charlie Crist,,CRIST,0,
CHARLIE GIBSON,,GIBSON,0,
Chris Krul,,KRUL,0,
CHRISTOPHER JACKSON,,JACKSON,0,
Clinton,Hillary Clinton,CLINTON,1,D
CLINTON,Hillary Clinton,CLINTON,1,D
Cooper,,COOPER,0,
COOPER,,COOPER,0,
CRIST,,CRIST,0,
CUMMINGS,,CUMMINGS,0,
CYNTHIA TUCKER,,TUCKER,0,
David Cercone,,CERCONE,0,
David McMillan,,MCMILAN,0,
DAVIS FLEETWOOD,,FLEETWOOD,0,
DIANE SAWYER,,SAWYER,0,
Dick Armey,,ARMY,0,
Dodd,Christopher Dodd,DODD,1,D
DODD,Christopher Dodd,DODD,1,D
DOUG HALL,,HALL,0,
DR. JOHNSON,,JOHNSON,0,
Edwards,John Edwards,EDWARDS,1,D
EDWARDS,John Edwards,EDWARDS,1,D
Emily,,EMILY,0,
Eric Bentson,,BENTSON,0,
Ernie Nardi,,NARDI,0,
Former Arkansas Governor Mike Huckabee,Mike Huckabee,HUCKABEE,1,R
Former Massachusetts Governor Mitt Romney,Mitt Romney,ROMNEY,1,R
Former New York City Mayor Rudolph Giuliani,Rudy Giuliani,GIULIANI,1,R
Former Virginia Governor James Gilmore (R-Va.),Jim Gilmore,GILMORE,1,R
Former Wisconsin Governor Tommy Thompson,Tommy Thompson,THOMPSON,1,R
FRANK PERCONTE,,PERCONTE,0,
GIBSON,,GIBSON,0,
Gilmore,Jim Gilmore,GILMORE,1,R
Gilmore (?),,UNKOWN,0,
GIULAINI,Rudy Giuliani,GIULIANI,1,R
Giuliani,Rudy Giuliani,GIULIANI,1,R
GIULIANI,Rudy Giuliani,GIULIANI,1,R
Gloria Borger,,BORGER,0,
GOLER,,GOLER,0,
GOV RICHARDSON,Bill Richardson,RICHARDSON,1,D
GOV. GILMORE,Jim Gilmore,GILMORE,1,R
GOV. HUCKABEE,Mike Huckabee,HUCKABEE,1,R
GOV. RICHARDSON,Bill Richardson,RICHARDSON,1,D
GOV. ROMNEY,Mitt Romney,ROMNEY,1,R
GOV. THOMPSON,Tommy Thompson,THOMPSON,1,R
Governor Norquist,,NORQUIST,0,
Gravel,Mike Gravel,GRAVEL,1,D
GRAVEL,Mike Gravel,GRAVEL,1,D
GREER,,GREER,0,
HOOK,,HOOK,0,
HOST,,HOST,0,
Huckabee,Mike Huckabee,HUCKABEE,1,R
HUCKABEE,Mike Huckabee,HUCKABEE,1,R
Huckabee (?),,UNKOWN,0,
HUME,,HUME,0,
Hunter,,HUNTER,0,
HUNTER,,HUNTER,0,
Hunter (?),,UNKOWN,0,
IVY MERRILL,,MERRILL,0,
Jack Brooks,,BROOKS,0,
Jay Fox,,FOX,0,
JEANNIE JACKSON,,JACKSON,0,
