person,long,name,candidate,party
(UNKNOWN),,UNKOWN,0,
ALEX BRILL,,BRILL,0,
ANNOUNCER,,ANNOUNCER,0,
AUDIENCE MEMBER,,AUDIENCEMEMBER,0,
BACHMANN,Michele Bachmann,BACHMANN,1,R
BAIER,,BAIER,0,
BARTIROMO,,BARTIROMO,0,
BIDEN,Joe Biden,BIDEN,1,D
BLITZER,,BLITZER,0,
BREAM,,BREAM,0,
CAIN,Herman Cain,CAIN,1,R
COOPER,,COOPER,0,
CRAMER,,CRAMER,0,
CROWLEY,,CROWLEY,0,
CUEVAS-NEUNDER,,CUEVAS-NEUNDER,0,
DEMINT,,DEMINT,0,
DIAZ-BALART,,DIAZ-BALART,0,
DISTASO,,DISTASO,0,
DISTASOS,,DISTASO,0,
EBANS,,EBANS,0,
EPPERSON,,EPPERSON,0,
ERICKSON,,ERICKSON,0,
EVANS,,EVANS,0,
FERRECHIO,,FERRECHIO,0,
GARRETT,,GARRETT,0,
GEORGE,,GEORGE,0,
GERGEN,,GERGEN,0,
GINGRICH,Newt Gingrich,GINGRICH,1,R
GOLDMAN,,GOLDMAN,0,
GREGORY,,GREGORY,0,
HARRIS,,HARRIS,0,
HARWOOD,,HARWOOD,0,
HILLER,,HILLER,0,
HUNTSMAN,Jon Huntsman,HUNTSMAN,1,R
J. KING,,KING,0,
Jim Demint,,DEMINT,0,
JOHN KING,,KING,0,
JOHNSON,Gary Johnson,JOHNSON,1,R
KATHERINE ZIMMERMAN,,ZIMMERMAN,0,
KELLY,,KELLY,0,
KING,,KING,0,
LEHRER,,LEHRER,0,
LIESMAN,,LIESMAN,0,
LOPEZ,,LOPEZ,0,
MALE,,MALE,0,
Male Voice,,MALEVOICE,0,
MALE VOICE,,MALEVOICE,0,
MARCOUX,,MARCOUX,0,
MCELVEEN,,MCELVEEN,0,
MODERATOR,,MODERATOR,0,
MODERATORS,,MODERATORS,0,
N. REAGAN,Nancy Reagan,NANCYREAGAN,0,
NARRATOR,,NARRATOR,0,
OBAMA,Barack Obama,OBAMA,1,D
OBERHELMAN,,OBERHELMAN,0,
PARTICIPANTS,,PARTICIPANTS,0,
PAUL,Ron Paul,PAUL,1,R
PAWLENTY,Tim Pawlenty,PAWLENTY,1,R
PELLEY,,PELLEY,0,
PERRY,Rick Perry,PERRY,0,
PROTESTER,,PROTESTER,0,
Q,,QUESTION,0,
QUESTION,,QUESTION,0,
R. REAGAN,Ronald Reagan,RONALDREAGAN,0,
RADDATZ,,RADDATZ,0,
REINHARD,,REINHARD,0,
RODRIGUEZ,,RODRIGUEZ,0,
ROMNEY,Mitt Romney,ROMNEY,1,R
ROSE,,ROSE,0,
RYAN,,RYAN,0,
S. KING,,KING,0,
SANTELLI,,SANTELLI,0,
SANTORUM,Rick Santorum,SANTORUM,1,R
SAWYER,,SAWYER,0,
SCHIEFFER,,SCHIEFFER,0,
SEIB,,SEIB,0,
SMITH,,SMITH,0,
SPEAKERS,,SPEAKERS,0,
SPONSOR,,SPONSOR,0,
STEPHANOPOULOS,,STEPHANOPOULOS,0,
STRAWN,,STRAWN,0,
SUZANNE BASS,,SUZANNE BASS,0,
TRULUCK,,TRULUCK,0,
TUMULTY,,TUMULTY,0,
UNIDENTIFIED MALE,,UNKNOWN,0,
UNKNOWN,,UNKNOWN,0,
Various,,VARIOUS,0,
WALLACE,,WALLACE,0,
WILLIAMS,,WILLIAMS,0,
YORK,,YORK,0,
ZIMMERMAN,,ZIMMERMAN,0,
COTE,,COTE,0,
"ED MEESE, HERITAGE FOUNDATION",Ed Meese,MEESE,0,
"ERICK ERICKSON, CNN CONTRIBUTOR",,ERICKSON,0,
FAHEY,,FAHEY,0,
FOREMAN,,FOREMAN,0,
"GOV. RICK SCOTT, R-FLA.",Rick Scott,SCOTT,0,
"JEAN MACKIN, WMUR",,MACKIN,0,
"JOHN BROWN, VOTER",,BROWN,0,
"JOHN KING, CNN ANCHOR",John King,KING,0,
MACKIN,,MACKIN,0,
MALE VOICE #2,,UNKNOWN,0,
OBAM,Barack Obama,OBAMA,1,D
PROTESTOR,,PROTESTOR,0,
Question,,UNKNOWN,0,
Rick Perry,Rick Perry,PERRY,1,R
ROMNEHY,Mitt Romney,ROMNEY,1,R
Senator Lindsay Graham,,GRAHAM,0,
UNKNOWN),,UNKNOWN,0,
unknown],,UNKNOWN,0,
VAUGHN,,VAUGHN,0,
WILLIAMS (voice-over),,WILLIAMS,0,
WILLIAMSCongressman,,WILLIAMS,0,
PFAFF,Terry Pfaff,PFAFF,0,
RON PAUL,Ron Paul,PAUL,1,R
MICHELE BACHMANN,Michele Bachmann,BACHMANN,1,R
