person,long,name,candidate,party
ALAN KEYES,Alan Keys,KEYS,1,R
Albin,,ALBIN,0,
ANNOUNCER,,ANNOUNCER,0,
Audience Member,,AUDIENCEMEMBER,0,
BACHMAN,,BACHMAN,0,
Bauer,Gary Bauer,BAUER,1,R
BAUER,Gary Bauer,BAUER,1,R
Bradley,Bill Bradley,BRADLEY,1,D
BRADLEY,Bill Bradley,BRADLEY,1,D
Brady,,BRADY,0,
BROKAW,,BROKAW,0,
Brown,,BROWN,0,
Brownstein,,BROWNSTEIN,0,
Bush,George W. Bush,BUSH,1,R
BUSH,George W. Bush,BUSH,1,R
"CANDY CROWLEY, CNN CORRESPONDENT",,CROWLEY,0,
CHENEY,Dick Cheney,CHENEY,0,
Clark,,CLARK,0,
COKIE ROBERTS,,ROBERTS,0,
CROWLEY,,CROWLEY,0,
Edwards,,EDWARDS,0,
Forbes,Steve Forbes,FORBES,1,R
FORBES,Steve Forbes,FORBES,1,R
GARY BAUER,Gary Bauer,BAUER,1,R
Geha,,GEHA,0,
Glawe,,GLAWE,0,
Gore,Al Gore,GORE,1,D
Gore..,Al Gore,GORE,1,D
GORE,Al Gore,GORE,1,D
Greenfield,,GREENFIELD,0,
Griffith,,GRIFFITH,0,
Hatch,Orrin Hatch,HATCH,1,R
HATCH,Orrin Hatch,HATCH,1,R
Hume,,HUME,0,
"JOHN KING, CNN CORRESPONDENT",,KING,0,
"JUDY WOODRUFF, CNN ANCHOR",,WOODRUFF,0,
Keyes,Alan Keys,KEYS,1,R
KEYES,Alan Keys,KEYS,1,R
Kilgore,,KILGORE,0,
King,,KING,0,
KING,,KING,0,
Koppel,,KOPPEL,0,
LIEBERMAN,Joe Lieberman,LIEBERMAN,1,D
McCain,John McCain,MCCAIN,1,R
McCain.,John McCain,MCCAIN,1,R
McCAIN,John McCain,MCCAIN,1,R
MCCAIN,John McCain,MCCAIN,1,R
McManus,,MCMANUS,0,
MEMBER OF AUDIENCE,,AUDIENCEMEMBER,0,
MODERATOR,,MODERATOR,0,
MODERATORS,,MODERATOR,0,
O'Brien,,O'BRIEN,0,
PANELISTS,,PANELISTS,0,
PARTICIPANTS,,PARTICIPANTS,0,
Protester,,PROTESTER,0,
Q,,QUESTIONER,0,
QUESTION,,QUESTIONER,0,
Russert,,RUSSERT,0,
RUSSERT,,RUSSERT,0,
Ryerson,,RYERSON,0,
Shaw,,SHAW,0,
Smiley,,SMILEY,0,
Stanton,,STANTON,0,
STEVE FORBES,Steve Forbes,FORBES,1,R
Trotter,,TROTTER,0,
Tumulty,,TUNULTY,0,
UNIDENTIFIED,,UNKNOWN,0,
Unknown,,UNKNOWN,0,
Unknown Male,,UNKNOWN,0,
Williams,,WILLIAMS,0,
Woodruff,,WOODRUFF,0,
WOODRUFF,,WOODRUFF,0,
Rev. Al Sharpton,,SHARPTON,0,
SEN. JOHN McCAIN,John McCain,MCCAIN,1,R
SEN. ORRIN HATCH,Orrin Hatch,HATCH,1,R
SENATOR JOHN McCAIN,John McCain,MCCAIN,1,R
Unknown),,UNKNOWN,0,
Unsolicited question],,UNKNOWN,0,
VICE PRESS. GORE,Al Gore,GORE,1,D
