person,long,name,candidate,party
???,,UNKNOWN,0,
[UNKNOWN],,UNKNOWN,0,
ANNOUNCER,,ANNOUNCER,0,
AUDIENCE,,AUDIENCE,0,
BAIER,,BAIER,0,
BAKER,,BAKER,0,
BARTIROMO,,BARTIROMO,0,
BASH,,BASH,0,
BLITZER,,BLITZER,0,
BROWNLEE,,BROWNLEE,0,
BUSH,Jeb Bush,BUSH,1,R
CARSON,Ben Carson,CARSON,1,R
CAVUTO,,CAVUTO,0,
CHAFEE,Lincoln Chafee,CHAFEE,1,D
CHRISTIE,Chris Christe,CHRISTIE,1,R
CLINTON,Hillary Clinton,CLINTON,1,D
COONEY,,COONEY,0,
COOPER,,COOPER,0,
CORDES,,CORDES,0,
CRAMER,,CRAMER,0,
CRUZ,Ted Cruz,CRUZ,1,R
CRUZ(?),,UNKNOWN,0,
DICKERSON,,DICKERSON,0,
EPPERSON,,EPPERSON,0,
FIORINA,Carly Fiorina,FIORINA,1,R
FRANCHESCA RAMSEY,,RAMSEY,0,
FRANTA,,FRANTA,0,
GILMORE,Jim Gilmore,GILMORE,1,R
GRAHAM,Lindsey Graham,GRAHAM,1,R
HARWOOD,,HARWOOD,0,
HEMMER,,HEMMER,0,
HEWITT,,HEWITT,0,
HOLT,,HOLT,0,
HUCKABEE,Mike Huckabee,HUCKABEE,1,R
JINDAL,Bobby Jindal,JINDAL,1,R
KASICH,John Kasich,KASICH,1,R
KELLY,,KELLY,0,
LEMON,,LEMON,0,
LEVESQUE,,LEVESQUE,0,
LOPEZ,,LOPEZ,0,
MacCALLUM,,MACCALLUM,0,
MALE,,UNKNOWN,0,
MCELVEEN,,MCELVEEN,0,
MITCHELL,,MITCHELL,0,
MODERATOR,,MODERATOR,0,
MODERATORS,,MODERATORS,0,
MUIR,,MUIR,0,
O'MALLEY,Marin O'Malley,O'MALLEY,1,D
OBRADOVICH,,OBRADOVICH,0,
PARTICIPANTS,,PARTICIPANTS,0,
PATAKI,George Pataki,PATAKI,1,R
PAUL,Rand Paul,PAUL,1,R
PERRY,Rick Perry,PERRY,1,R
QUESTION,,QUESTION,0,
QUICK,,QUICK,0,
QUINTANILLA,,QUINTANILLA,0,
RADDATZ,,RADDATZ,0,
REGAN,,REGAN,0,
RUBIO,Marco Rubio,RUBIO,1,R
SANDERS,Bernie Sanders,SANDERS,1,D
SANTELLI,,SANTELLI,0,
SANTORUM,Rick Santorum,SANTORUM,1,R
SEIB,,SEIB,0,
SMITH,,SMITH,0,
TAPPER,,TAPPER,0,
TAPPER(?),,UNKNOWN,0,
TRUMP,Donald Trump,TRUMP,1,R
TRUMP(?),,UNKNOWN,0,
UNIDENTIFIED,,UNKNOWN,0,
UNIDENTIFIED FEMALE,,UNKNOWN,0,
UNIDENTIFIED MALE,,UNKNOWN,0,
UNKNOWN,,UNKNOWN,0,
UNKNOWN</i>,,UNKNOWN,0,
WALKER,Scott Walker,WALKER,1,R
WALLACE,,WALLACE,0,
WEBB,Jim Webb,WEBB,1,D
WILKINS,,WILKINS,0,
