person,long,name,candidate,party
(CROSSTALK) LEHRER,,LEHRER,0,
BALDI,,BALDI,0,
BARROW,,BARROW,0,
BROKAW,,BROKAW,0,
BRONSING,,BRONSING,0,
BUSH,George W. Bush,BUSH,1,R
CHENEY,Dick Cheney,CHENEY,1,R
CLARK,Wesly Clark,CLARK,1,D
DAHLE,,DAHLE,0,
DEAN,Howard Dean,DEAN,1,D
DEGENHART,,DEGENHART,0,
DISTASO,,DISTASO,0,
EDWARDS,John Edwards,EDWARDS,1,D
FARLEY,,FARLEY,0,
FOWLER,,FOWLER,0,
GIBSON,,GIBSON,0,
GRABEL,,GRABEL,0,
GRIFFITH,,GRIFFITH,0,
HORSTMAN,,HORSTMAN,0,
HUBB,,HUBB,0,
HUME,,HUME,0,
IFILL,,IFILL,0,
JACOBS,,JACOBS,0,
JENNINGS,,JENNINGS,0,
KERRY,John Kerry,KERRY,1,D
KUCINICH,Dennis Kucinich,KUCINICH,1,D
LAURENT,,LAURENT,0,
LEHRER,,LEHRER,0,
LIEBERMAN,Joe Lieberman,LIEBERMAN,1,D
LONG,,LONG,0,
MICHAELSON,,MICHAELSON,0,
O'BRIEN,,O'BRIEN,0,
OTIS,,OTIS,0,
SCHIEFFER,,SCHIEFFER,0,
SHARPTON,Al Sharpton,SHARPTON,1,D
SPEAKERS,,SPEAKERS,0,
TOM BROKAW,,TOM BROKAW,0,
VARNER,,VARNER,0,
WASHINGTON,,WASHINGTON,0,
